ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Обложка Mobile	Краткое описание	Цена	Дата	Время	Активен	Показывать ДО
events		0	Мероприятия	events	запись на мероприятия	icons/events.png							TRUE
mafia	events	1	Мафия	mafia	4 октября, 19:00	img/events/мафия.png	img/events/мафия.png	img/events/мафия.png	Интеллектуальная психологическая игра в ресторане Прайд. Профессиональный ведущий, кофе, сок, канапе.	Бесплатно	4 октября	19:00	TRUE	04.10.2025
burger	events	1	Готовим Бургер	burger-cooking	12 октября, 17:30	img/events/Бургер.png	img/events/Бургер.png	img/events/Бургер.png	Кулинарный мастер-класс от шеф-повара. Секреты идеальной прожарки, авторские соусы. Для детей 5+	800₽	12 октября	17:30	TRUE	12.10.2025
wine	events	1	Картина Вином	vine-painting	26 октября, 17:00	img/events/Картина вином.PNG	img/events/Картина вином.PNG	img/events/Картина вином.PNG	Креативный мастер-класс по созданию картин с использованием вина. Дегустация, все материалы включены.	2000₽	26 октября	17:00	TRUE	26.10.2025
bunker	events	1	Бункер	bunker	1 ноября, 17:00 и 19:30	img/events/Бункер.png	img/events/Бункер.png	img/events/Бункер.png	Стратегическая игра на выживание. Две игры: 17:00-19:00 и 19:30-21:30	2000₽	1 ноября	17:00	TRUE	01.11.2025
cake	events	1	Кейк-попсы	cake-pops	15 ноября, 15:00	img/events/кейк-попсы.png	img/events/кейк-попсы.png	img/events/кейк-попсы.png	Кулинарный мастер-класс по приготовлению кейк-попсов ко дню влюбленных.	1200₽	15 ноября	15:00	TRUE	15.11.2025
mom	events	1	Ко дню мамочки	mom-day	22 ноября, 15:00	img/events/Ко-дню-мамочки.png	img/events/Ко-дню-мамочки.png	img/events/Ко-дню-мамочки.png	Мастер-класс: светильник в банке с фигуркой для мамы.	1400₽	22 ноября	15:00	TRUE	22.11.2025
pajama	events	1	Пижамная вечеринка	pajama-party	25 ноября, 17:30	img/events/Пижамная5.png	img/events/Пижамная5.png	img/events/Пижамная5.png	Пижамно-тематическая вечеринка! Главный герой - Стич! Смех и волшебство.	3000₽	25 ноября	17:30	TRUE	25.11.2025
caucasus	events	1	Вечер кавказских танцев	caucasus-dance	28 ноября, 18:00	img/events/Вечер-кваказ.PNG	img/events/Вечер-кваказ.PNG	img/events/Вечер-кваказ.PNG	Выступление шоу-группы, мастер-класс по кавказским движениям, настоящий лозарь!	1500₽	28 ноября	18:00	TRUE	28.11.2025
fabric	events	1	Картины из ткани	fabric-art	30 ноября, 17:30	img/events/Картины-из-ткани.png	img/events/Картины-из-ткани.png	img/events/Картины-из-ткани.png	Мастер-класс: Картины из ткани и гипса. Уютный вечер с бокалом шампанского.	3100₽	30 ноября	17:30	TRUE	30.11.2025
alco	events	1	Алко-игры	alco-games	5 декабря, 18:00	img/events/Алко-игры.PNG	img/events/Алко-игры.PNG	img/events/Алко-игры.PNG	Увлекательные игры, веселая атмосфера, яркие эмоции и море позитива!	2000₽	5 декабря	18:00	TRUE	05.12.2025
bouquet	events	1	Новогодний букет	ny-bouquet	6 декабря, 17:30	img/events/НГ-букет.PNG	img/events/НГ-букет.PNG	img/events/НГ-букет.PNG	Мастер-класс: праздничный букет с еловыми ветками, розами и шишками.	2000₽	6 декабря	17:30	TRUE	06.12.2025
wreath	events	1	Новогодний венок	ny-wreath	13 декабря, 17:30	img/events/НГ-венок.PNG	img/events/НГ-венок.PNG	img/events/НГ-венок.PNG	Мастер-класс: праздничный венок со свечой, еловые ветки и новогодние украшения.	2000₽	13 декабря	17:30	TRUE	13.12.2025
tree	events	1	Новогодняя елка	ny-tree	28 и 29 декабря, 10:00	img/events/НГ-Елка.PNG	img/events/НГ-Елка.PNG	img/events/НГ-Елка.PNG	Праздник для всей семьи! Дед Мороз, Снегурочка, программа, фуршет, фото-конкурс.	3800₽	28-29 декабря	10:00	TRUE	29.12.2025
